Tidspunkt;Vannføring (m³/s)
2009-12-01 11:00:00Z;7.232652
2009-12-02 11:00:00Z;0.1085865
2009-12-03 11:00:00Z;0.08922575
2009-12-04 11:00:00Z;0.0747604
2009-12-05 11:00:00Z;0.06542323
2009-12-06 11:00:00Z;0.05578356
2009-12-07 11:00:00Z;0.0460851
2009-12-08 11:00:00Z;0.03868152
2009-12-09 11:00:00Z;0.03283867
2009-12-10 11:00:00Z;0.02801182
2009-12-11 11:00:00Z;0.02479817
2009-12-12 11:00:00Z;0.02239759
2009-12-13 11:00:00Z;0.02005614
2009-12-14 11:00:00Z;0.01727957
2009-12-15 11:00:00Z;0.01453547
2009-12-16 11:00:00Z;0.0120967
2009-12-17 11:00:00Z;0.02169233
2009-12-18 11:00:00Z;0.04691323
2009-12-19 11:00:00Z;0.05259166
2009-12-20 11:00:00Z;0.04523647
2009-12-21 11:00:00Z;0.03967563
2009-12-22 11:00:00Z;0.03380439
2009-12-23 11:00:00Z;0.0259594
2009-12-24 11:00:00Z;0.02300689
2009-12-25 11:00:00Z;0.0181644
2009-12-26 11:00:00Z;0.01586831
2009-12-27 11:00:00Z;0.01352979
2009-12-28 11:00:00Z;0.0132282
2009-12-29 11:00:00Z;0.01309525
2009-12-30 11:00:00Z;0.01326578
2009-12-31 11:00:00Z;0.01098587
2010-01-01 11:00:00Z;0.008456768
2010-01-02 11:00:00Z;0.007087923
2010-01-03 11:00:00Z;0.01605387
2010-01-04 11:00:00Z;0.01154417
2010-01-05 11:00:00Z;0.01072877
2010-01-06 11:00:00Z;0.008456768
2010-01-07 11:00:00Z;0.01416369
2010-01-08 11:00:00Z;0.05978451
2010-01-09 11:00:00Z;0.1194665
2010-01-10 11:00:00Z;0.3105739
2010-01-11 11:00:00Z;0.6716501
2010-01-12 11:00:00Z;1.209601
2010-01-13 11:00:00Z;0.8580474
2010-01-14 11:00:00Z;0.6090258
2010-01-15 11:00:00Z;0.4416209
2010-01-16 11:00:00Z;0.2951383
2010-01-17 11:00:00Z;0.2344524
2010-01-18 11:00:00Z;0.1842316
2010-01-19 11:00:00Z;0.1671444
2010-01-20 11:00:00Z;0.2554513
2010-01-21 11:00:00Z;0.3649608
2010-01-22 11:00:00Z;0.3014857
2010-01-23 11:00:00Z;0.2330973
2010-01-24 11:00:00Z;0.2021057
2010-01-25 11:00:00Z;0.1523182
2010-01-26 11:00:00Z;0.1826371
2010-01-27 11:00:00Z;0.6417657
2010-01-28 11:00:00Z;0.6720832
2010-01-29 11:00:00Z;0.5299937
2010-01-30 11:00:00Z;0.3590087
2010-01-31 11:00:00Z;0.2554513
2010-02-01 11:00:00Z;0.2096917
2010-02-02 11:00:00Z;0.1735688
2010-02-03 11:00:00Z;0.1518935
2010-02-04 11:00:00Z;0.1354548
2010-02-05 11:00:00Z;0.123652
2010-02-06 11:00:00Z;0.1246857
2010-02-07 11:00:00Z;0.1312065
2010-02-08 11:00:00Z;0.1393612
2010-02-09 11:00:00Z;0.1255065
2010-02-10 11:00:00Z;0.1181648
2010-02-11 11:00:00Z;0.1255065
2010-02-12 11:00:00Z;0.2021057
2010-02-13 11:00:00Z;0.4105342
2010-02-14 11:00:00Z;0.391993
2010-02-15 11:00:00Z;0.4247127
2010-02-16 11:00:00Z;0.3261706
2010-02-17 11:00:00Z;0.2512392
2010-02-18 11:00:00Z;0.1890204
2010-02-19 11:00:00Z;0.1465747
2010-02-20 11:00:00Z;0.1220563
2010-02-21 11:00:00Z;0.09971851
2010-02-22 11:00:00Z;0.08386084
2010-02-23 11:00:00Z;0.06933728
2010-02-24 11:00:00Z;0.06737188
2010-02-25 11:00:00Z;0.04432493
2010-02-26 11:00:00Z;0.04922934
2010-02-27 11:00:00Z;0.04274564
2010-02-28 11:00:00Z;0.03526661
2010-03-01 11:00:00Z;0.03111436
2010-03-02 11:00:00Z;0.02475577
2010-03-03 11:00:00Z;0.02240988
2010-03-04 11:00:00Z;0.01805853
2010-03-05 11:00:00Z;0.01910367
2010-03-06 11:00:00Z;0.03385456
2010-03-07 11:00:00Z;0.03872071
2010-03-08 11:00:00Z;0.08303879
2010-03-09 11:00:00Z;0.1578769
2010-03-10 11:00:00Z;0.263235
2010-03-11 11:00:00Z;0.26705
2010-03-12 11:00:00Z;0.219583
2010-03-13 11:00:00Z;0.1780574
